"","Bacteroides_thetaiotaomicron","Faecalibacterium_prausnitzii","Bacteroides_fragilis","Fusicatenibacter_saccharivorans","Dorea_longicatena","Intestinimonas_butyriciproducens","Anaerostipes_hadrus","Collinsella_aerofaciens","Blautia_obeum","_Clostridium__scindens","Alistipes_finegoldii","Dielma_fastidiosa","Eubacterium_ramulus","Clostridium_paraputrificum","Bifidobacterium_bifidum","Bifidobacterium_breve","Bifidobacterium_animalis","Lactobacillus_acidophilus","Lactobacillus_gasseri"
"IBD_175",9.15069,2.63562,0.34758,0.85459,0,0.01126,0.14642,0.03783,0.06876,0,3.48714,0,0,0,0,0,0,0,0
"IBD_176",1.97683,21.40032,0.28427,0.66635,0,0.0142,0.43585,0.48102,0.06167,0,1.3629,0,0,0,0,0,0,0,0
"IBD_177",0.99731,5.55444,0,0.61481,0,0,0,0.15783,0.05158,0,0.19697,0,0,0,0,0,0,0,0
"IBD_178",1.51817,0.11966,0,0.01283,0,0,0,0.03207,0,0,0.44939,0,0,0,0,0,0,0,0
"IBD_179",6.75028,4.82578,0.42002,0.14582,0.0202,0,0,0,0,0,25.0879,0,0,0,0,0,0,0,0
"IBD_180",3.17032,8.74773,0,0.39426,0,0.01688,0,0.19724,0.18454,0,0.6121,0,0,0,0,0,0,0,0
"IBD_181",1.0715,2.68864,0,0.26143,0,0,0,0.04696,0.0035,0,0.43051,0,0,0,0,0,0,0,0
"IBD_182",0.5842,10.70174,0.00113,0.25861,0,0.06209,0,0.12495,0.03772,0,0.1032,0,0,0,0,0,0,0,0
"IBD_183",0.57122,3.19844,4.27047,0.0821,4.04859,0.03081,0.14555,0.03874,0,0,3.04515,0,0,0.03238,0.0356,0,0,0,0
"IBD_184",0,0.63897,0.66075,0,0,0.91456,0.12072,0,0,0,0,0,0,0,0.04003,0,0,0,0
"IBD_185",0,2.64033,0.76018,0.06212,0,0.38208,0.07691,0,0,0,0,0,0,0,0.0504,0,0,0,0
"IBD_186",0,0,0,0,1.47996,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IBD_187",0.03163,8.32021,0.72689,0.05081,0,0.10914,0.07137,0,0,0,0,0,0,0,0.50949,0,0,0,0
"IBD_188",0,18.10413,0.15946,0,0,0,0,0,0,0,0,0,0,0,0,0.05923,0,0,0
